"Provider No.","Facility Name","Facility Type","Facility Subtype","Street Address","City","State","ZIP Code","Telephone","No. of Beds","No. of Certified Beds","No. of Medicaid Nursing Beds","No. of Skilled Nursing Beds","No. of ICF/MR Beds","No. of Physicians","No. of Physician Assistants","No. of Nurse Practitioners","No. of Direct Care Personnel","No. of Other Personnel","Employee Count","Federally Funded Health Center Indicator","Rural Health Center Provider Number","Rural Health Clinic Indicator","Facility Type Description"
"450272","CHRISTUS SANTA ROSA HOSPITAL-SAN MARCOS","Hospital","Short Term","1301 Wonder World Dr","San Marcos","Texas","78666-7533","512-753-3690","","","","","","0.00","","","","53.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450289","HARRIS HEALTH","Hospital","Short Term","2525 Holly Hall St","Houston","Texas","77054-4124","713-566-6417","","","","","","1.00","","","","5358.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450292","TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN","Hospital","Short Term","850 Ed Hall Dr","Kaufman","Texas","75142-1861","972-932-7200","","","","","","0.00","","","","40.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450324","TEXOMA MEDICAL CENTER","Hospital","Short Term","5016 S US Highway 75","Denison","Texas","75020-4584","903-416-4000","","","","","","51.00","","","","1061.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450330","OAKBEND MEDICAL CENTER","Hospital","Short Term","1705 Jackson St","Richmond","Texas","77469-3246","281-341-3000","","","","","","80.00","","","","356.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450346","BAPTIST BEAUMONT HOSPITAL","Hospital","Short Term","3080 College St","Beaumont","Texas","77701-4606","409-212-5012","","","","","","0.00","","","","668.32","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450347","HUNTSVILLE MEMORIAL HOSPITAL","Hospital","Short Term","110 Memorial Hospital Dr","Huntsville","Texas","77340-4940","936-291-3411","","","","","","0.00","","","","257.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450351","TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL","Hospital","Short Term","411 N Belknap St","Stephenville","Texas","76401-3415","254-965-1500","","","","","","2.00","","","","107.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450352","HUNT REGIONAL HEALTHCARE","Hospital","Short Term","4215 Joe Ramsey Blvd E","Greenville","Texas","75401-7852","903-408-5000","","","","","","11.00","","","","546.58","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450358","HOUSTON METHODIST HOSPITAL","Hospital","Short Term","6565 Fannin St","Houston","Texas","77030-2703","713-790-2221","","","","","","0.00","","","","3931.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45035E","TEXAS GULF SULPHUR CO HOSP","Hospital","Data not provided by CMS","","Newgulf","Texas","77462","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450369","CHILDRESS REGIONAL MEDICAL CENTER","Hospital","Short Term","US Highway 83 N","Childress","Texas","79201-2321","940-937-6371","","","","","","9.25","","","","111.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450370","COLUMBUS COMMUNITY HOSPITAL","Hospital","Short Term","110 Shult Dr","Columbus","Texas","78934-3016","979-732-2371","","","","","","0.00","","","","106.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450372","BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE","Hospital","Short Term","2400 N Interstate Highway 35 E","Waxahachie","Texas","75165-5240","972-923-7000","","","","","","1.00","","","","311.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450379","DALLAS MEDICAL CENTER","Hospital","Short Term","7 Medical Pkwy","Dallas","Texas","75234-7823","972-247-1000","","","","","","0.00","","","","206.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450388","METHODIST HOSPITAL","Hospital","Short Term","7700 Floyd Curl Dr","San Antonio","Texas","78229-3902","210-575-4000","","","","","","0.00","","","","3266.83","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450389","UT HEALTH EAST TEXAS ATHENS HOSPITAL","Hospital","Short Term","2000 S Palestine St","Athens","Texas","75751-5610","903-676-1000","","","","","","0.00","","","","190.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450395","CHI ST LUKES HEALTH MEMORIAL LIVINGSTON","Hospital","Short Term","1717 Highway 59 Loop N","Livingston","Texas","77351-5710","936-327-4381","","","","","","5.00","","","","82.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450399","BROWNFIELD REGIONAL MEDICAL CENTER","Hospital","Short Term","705 E Felt St","Brownfield","Texas","79316-3439","806-637-3551","","","","","","0.00","","","","101.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450400","PARKVIEW REGIONAL HOSPITAL","Hospital","Short Term","600 S Bonham St","Mexia","Texas","76667-3603","254-562-5332","","","","","","0.00","","","","93.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450403","MEDICAL CITY MCKINNEY","Hospital","Short Term","4500 Medical Center Dr","Mckinney","Texas","75069-1650","972-547-8000","","","","","","0.00","","","","449.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450411","EASTLAND MEMORIAL HOSPITAL","Hospital","Short Term","304 S Daugherty Ave","Eastland","Texas","76448-2609","254-631-5342","","","","","","0.00","","","","79.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450419","TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE","Hospital","Short Term","108 Denver Trl","Azle","Texas","76020-3614","817-444-8700","","","","","","0.00","","","","82.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450422","BAYLOR SCOTT AND WHITE MEDICAL CENTER UPTOWN","Hospital","Short Term","2727 E Lemmon Ave","Dallas","Texas","75204-2833","214-443-3000","","","","","","0.00","","","","800.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450424","HOUSTON METHODIST BAYTOWN HOSPITAL","Hospital","Short Term","4401 Garth Rd","Baytown","Texas","77521-2122","281-420-8600","","","","","","63.00","","","","748.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450431","ST DAVID'S MEDICAL CENTER","Hospital","Short Term","919 E 32nd St","Austin","Texas","78705-2703","512-476-7111","","","","","","0.00","","","","1319.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450447","NAVARRO REGIONAL HOSPITAL","Hospital","Short Term","3201 W State Highway 22","Corsicana","Texas","75110-2450","903-654-6800","","","","","","11.00","","","","220.83","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450451","GLEN ROSE MEDICAL CENTER","Hospital","Short Term","1021 Holden St","Glen Rose","Texas","76043-4937","254-897-2215","","","","","","0.00","","","","89.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450460","TYLER COUNTY HOSPITAL","Hospital","Short Term","1100 W Bluff St","Woodville","Texas","75979-4738","409-283-8141","","","","","","1.00","","","","47.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450462","TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS","Hospital","Short Term","8200 Walnut Hill Ln","Dallas","Texas","75231-4402","214-345-6789","","","","","","1.00","","","","1743.25","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450465","MATAGORDA REGIONAL MEDICAL CENTER","Hospital","Short Term","104 7th St","Bay City","Texas","77414-4853","979-245-6383","","","","","","0.00","","","","175.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450469","WILSON N JONES REGIONAL MEDICAL CENTER","Hospital","Short Term","500 N Highland Ave","Sherman","Texas","75092-7354","903-870-4611","","","","","","0.00","","","","186.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450475","UT HEALTH EAST TEXAS HENDERSON HOSPITAL","Hospital","Short Term","300 Wilson St","Henderson","Texas","75652-5956","903-657-7541","","","","","","9.00","","","","59.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450484","WOODLAND HEIGHTS MEDICAL CENTER","Hospital","Short Term","505 S John Redditt Dr","Lufkin","Texas","75904-3120","936-634-8311","","","","","","3.00","","","","180.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450489","MEDICAL ARTS HOSPITAL","Hospital","Short Term","2200 N Bryan Ave","Lamesa","Texas","79331-2451","806-872-2183","","","","","","5.00","","","","45.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450498","STEPHENS MEMORIAL HOSPITAL","Hospital","Short Term","200 S Geneva St","Breckenridge","Texas","76424-4702","254-559-2241","","","","","","2.00","","","","61.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45049E","GALVESTON CO MEM HOSP","Hospital","Data not provided by CMS","","Texas City","Texas","77590","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450508","NACOGDOCHES MEMORIAL HOSPITAL","Hospital","Short Term","1204 N Mound St","Nacogdoches","Texas","75961-4027","936-564-4611","","","","","","0.00","","","","305.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450518","THE MEDICAL CENTER OF SOUTHEAST TEXAS","Hospital","Short Term","2555 Jimmy Johnson Blvd","Port Arthur","Texas","77640-2007","409-853-5900","","","","","","0.00","","","","309.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45051E","TIMBERLAWN SANITARIUM","Hospital","Data not provided by CMS","4600 Samuell Blvd","Dallas","Texas","75228-6827","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450537","METHODIST RICHARDSON MEDICAL CENTER","Hospital","Short Term","2831 E President George Bush Hwy","Richardson","Texas","75082-3561","469-204-1000","","","","","","0.00","","","","372.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450539","COVENANT HOSPITAL PLAINVIEW","Hospital","Short Term","2601 Dimmitt Rd","Plainview","Texas","79072-1833","806-296-5531","","","","","","0.00","","","","149.21","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45053E","UNIVERSITY OF TEXAS STUDENT HLTH CTR","Hospital","Data not provided by CMS","W 26th St","Austin","Texas","78705-4409","512-888-8888","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"45054E","W I COOK CHILDRENS HOSP","Hospital","Data not provided by CMS","1212 W Lancaster Ave","Fort Worth","Texas","76102-4510","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450563","BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE","Hospital","Short Term","1650 W College St","Grapevine","Texas","76051-3565","817-481-1588","","","","","","0.00","","","","183.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450565","PALO PINTO GENERAL HOSPITAL","Hospital","Short Term","400 SW 25th Ave","Mineral Wells","Texas","76067-8246","940-325-7891","","","","","","0.00","","","","156.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450571","SHANNON MEDICAL CENTER","Hospital","Short Term","120 E Harris Ave","San Angelo","Texas","76903-5904","325-653-6741","","","","","","0.00","","","","1437.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450573","CHRISTUS JASPER MEMORIAL HOSPITAL","Hospital","Short Term","1275 Marvin Hancock Dr","Jasper","Texas","75951-4935","409-384-5461","","","","","","0.00","","","","53.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450584","WILBARGER GENERAL HOSPITAL","Hospital","Short Term","920 Hillcrest Dr","Vernon","Texas","76384-3132","940-552-9351","","","","","","3.00","","","","99.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450587","HENDRICK MEDICAL CENTER BROWNWOOD","Hospital","Short Term","1501 Burnet Rd","Brownwood","Texas","76801-8520","325-646-8541","","","","","","0.00","","","","401.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45058F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","7 5th St","Dyess AFB","Texas","79607","951-888-8888","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450596","LAKE GRANBURY MEDICAL CENTER","Hospital","Short Term","1310 Paluxy Rd","Granbury","Texas","76048-5655","817-573-2683","","","","","","0.00","","","","104.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450597","CUERO REGIONAL HOSPITAL","Hospital","Short Term","2550 N Esplanade St","Cuero","Texas","77954-4736","361-275-6191","","","","","","7.24","","","","201.72","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450604","HILL COUNTRY MEMORIAL HOSPITAL","Hospital","Short Term","1020 S State Highway 16","Fredericksburg","Texas","78624-4471","830-997-4353","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45060F","VA HOSP","Hospital","Data not provided by CMS","PO BOX 50600 CASHR 04A","Amarillo","Texas","79106","806-355-9703","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450610","MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER","Hospital","Short Term","921 Gessner Rd","Houston","Texas","77024-2501","713-242-3000","","","","","","0.00","","","","672.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450617","HCA HOUSTON HEALTHCARE CLEAR LAKE","Hospital","Short Term","500 W Medical Center Blvd","Webster","Texas","77598-4220","281-332-2511","","","","","","0.00","","","","480.12","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45061F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","Bergstrom Expy","Austin","Texas","78721","512-888-8888","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"45062F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","WEBB AIR FORCE BASE","Big Spring","Texas","79720","512-888-8888","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450634","MEDICAL CITY DENTON","Hospital","Short Term","3535 S Interstate 35 E","Denton","Texas","76210-6850","940-384-3535","","","","","","0.00","","","","276.35","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450638","HCA HOUSTON HEALTHCARE NORTHWEST","Hospital","Short Term","710 Cypress Creek Pkwy","Houston","Texas","77090-3402","281-440-1000","","","","","","0.00","","","","282.76","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450639","TEXAS HEALTH HEB","Hospital","Short Term","1600 Hospital Pkwy","Bedford","Texas","76022-6913","817-848-4000","","","","","","2.00","","","","937.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45063F","WEST TEXAS VA HEALTHCARE SYSTEM","Hospital","Data not provided by CMS","300 W Veterans Blvd","Big Spring","Texas","79720-5566","432-263-7361","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450641","NOCONA GENERAL HOSPITAL","Hospital","Short Term","100 Park Rd","Nocona","Texas","76255-3616","940-825-3235","","","","","","0.00","","","","58.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450643","DOCTORS HOSPITAL OF LAREDO","Hospital","Short Term","10700 McPherson Rd","Laredo","Texas","78045-6268","956-523-2000","","","","","","11.00","","","","384.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450644","HCA HOUSTON HEALTHCARE WEST","Hospital","Short Term","12141 Richmond Ave","Houston","Texas","77082-2408","281-588-8080","","","","","","0.00","","","","603.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450647","MEDICAL CITY DALLAS","Hospital","Short Term","7777 Forest Ln","Dallas","Texas","75230-2571","972-566-6222","","","","","","0.00","","","","734.70","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45064F","VA HOSP","Hospital","Data not provided by CMS","E 9th St","Bonham","Texas","75418-3933","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450651","MEDICAL CITY PLANO","Hospital","Short Term","3901 W 15th St","Plano","Texas","75075-7738","972-596-6800","","","","","","1.00","","","","574.49","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450653","SCENIC MOUNTAIN MEDICAL CENTER, A STEWARD FAMILY H","Hospital","Short Term","1601 W 11th Pl","Big Spring","Texas","79720-4114","432-263-1211","","","","","","0.00","","","","116.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450654","STARR COUNTY MEMORIAL HOSPITAL","Hospital","Short Term","128 N FM 3167","Rio Grande City","Texas","78582-6211","956-487-5561","","","","","","1.00","","","","190.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450656","NACOGDOCHES MEDICAL CENTER","Hospital","Short Term","4920 NE Stallings Dr","Nacogdoches","Texas","75965-1254","936-569-9481","","","","","","0.00","","","","168.75","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450658","FREESTONE MEDICAL CENTER","Hospital","Short Term","125 Newman St","Fairfield","Texas","75840-1419","903-389-1612","","","","","","3.00","","","","45.60","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450659","HCA HOUSTON HEALTHCARE MEDICAL CENTER","Hospital","Short Term","1313 Hermann Dr","Houston","Texas","77004-7005","713-527-5019","","","","","","0.00","","","","195.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45065F","US NAVAL HOSP","Hospital","Data not provided by CMS","","Corpus Christi","Texas","78419","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450661","ODESSA REGIONAL MEDICAL CENTER","Hospital","Short Term","520 E 6th St","Odessa","Texas","79761-4527","432-582-8340","","","","","","0.00","","","","322.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450662","VALLEY REGIONAL MEDICAL CENTER","Hospital","Short Term","100 E Alton Gloor Blvd","Brownsville","Texas","78526-3328","956-350-7000","","","","","","0.00","","","","237.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450668","SIERRA MEDICAL CENTER","Hospital","Short Term","1625 Medical Center Dr","El Paso","Texas","79902-5005","915-747-4000","","","","","","0.00","","","","322.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450669","MEDICAL CITY LEWISVILLE","Hospital","Short Term","500 W Main St","Lewisville","Texas","75057-3641","972-420-1000","","","","","","0.00","","","","303.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45066F","VA HOSP","Hospital","Data not provided by CMS","4500 S Lancaster Rd","Dallas","Texas","75216-7167","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450670","HCA HOUSTON HEALTHCARE TOMBALL","Hospital","Short Term","605 Holderrieth Blvd","Tomball","Texas","77375-6445","281-351-1623","","","","","","0.00","","","","275.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450672","MEDICAL CITY FORT WORTH","Hospital","Short Term","900 8th Ave","Fort Worth","Texas","76104-3902","817-336-2100","","","","","","0.00","","","","411.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450674","WOMANS HOSPITAL OF TEXAS,THE","Hospital","Short Term","7600 Fannin St","Houston","Texas","77054-1906","713-790-1234","","","","","","0.00","","","","0.90","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450675","MEDICAL CITY ARLINGTON","Hospital","Short Term","3301 Matlock Rd","Arlington","Texas","76015-2908","817-465-3241","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450677","TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH","Hospital","Short Term","11801 South Fwy","Burleson","Texas","76028-7021","817-568-5317","","","","","","0.00","","","","483.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450678","WHITE ROCK MEDICAL CENTER","Hospital","Short Term","9440 Poppy Dr","Dallas","Texas","75218-3652","214-324-6100","","","","","","0.00","","","","401.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45067F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","5th St","Del Rio","Texas","78840","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450684","MEMORIAL HERMANN NORTHEAST HOSPITAL","Hospital","Short Term","18951 Memorial North","Humble","Texas","77338-4217","281-540-7700","","","","","","0.00","","","","436.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450686","UNIVERSITY MEDICAL CENTER","Hospital","Short Term","602 Indiana Ave","Lubbock","Texas","79415-3364","806-775-8200","","","","","","8.00","","","","2423.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450688","DALLAS REGIONAL MEDICAL CENTER","Hospital","Short Term","1011 N Galloway Ave","Mesquite","Texas","75149-2433","214-320-7000","","","","","","0.00","","","","226.20","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45068F","WILLIAM BEAUMONT GEN HOSP","Hospital","Data not provided by CMS","Dyer St","El Paso","Texas","79924-2714","915-888-8888","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450690","UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER","Hospital","Short Term","11937 US Highway 271","Tyler","Texas","75708-3154","903-877-7777","","","","","","86.00","","","","953.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450694","EL CAMPO MEMORIAL HOSPITAL","Hospital","Short Term","303 Sandy Corner Rd","El Campo","Texas","77437-9535","979-578-5251","","","","","","0.00","","","","290.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450698","LAMB HEALTHCARE CENTER","Hospital","Short Term","1500 S Sunset Ave","Littlefield","Texas","79339-4899","806-385-6411","","","","","","0.00","","","","65.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45069F","US ARMY HOSP","Hospital","Data not provided by CMS","3551 Roger Brooke Dr","Jbsa Ft Sam Houston","Texas","78234","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450702","LONGVIEW REGIONAL MEDICAL CENTER","Hospital","Short Term","2901 4th St","Longview","Texas","75605-5128","903-758-1818","","","","","","0.00","","","","326.23","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450709","HOUSTON METHODIST CLEAR LAKE HOSPITAL","Hospital","Short Term","18300 Houston Methodist Dr","Houston","Texas","77058-6302","281-333-5503","","","","","","0.00","","","","610.06","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45070F","US ARMY HOSP","Hospital","Data not provided by CMS","","Fort Hood","Texas","76544","817-888-8888","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450711","RIO GRANDE REGIONAL HOSPITAL","Hospital","Short Term","101 E Ridge Rd","Mcallen","Texas","78503-1847","956-632-6000","","","","","","0.00","","","","533.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450713","ST DAVID'S SOUTH AUSTIN MEDICAL CENTER","Hospital","Short Term","901 W Ben White Blvd","Austin","Texas","78704-6903","512-448-7107","","","","","","0.00","","","","547.41","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450718","ROUND ROCK MEDICAL CENTER","Hospital","Short Term","2400 Round Rock Ave","Round Rock","Texas","78681-4097","512-341-1000","","","","","","0.00","","","","302.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45071F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","Carswell Ave","Naval Air Station JRB","Texas","76127","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450723","METHODIST CHARLTON MEDICAL CENTER","Hospital","Short Term","3500 W Wheatland Rd","Dallas","Texas","75237-3460","214-947-7777","","","","","","0.00","","","","724.40","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45072F","US PUBLIC HEALTH SERVICE HOSP","Hospital","Data not provided by CMS","P O BOX 100","Fort Worth","Texas","76119","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450730","CARROLLTON REGIONAL MEDICAL CENTER","Hospital","Short Term","4343 N Josey Ln","Carrollton","Texas","75010-4603","972-394-2255","","","","","","0.00","","","","321.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45073F","US PUBLIC HEALTH SERVICE HOSP","Hospital","Data not provided by CMS","Avenue N","Galveston","Texas","77550-6958","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450742","BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE","Hospital","Short Term","6800 Scenic Dr","Rowlett","Texas","75088-4552","972-412-2273","","","","","","1.47","","","","178.20","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450743","TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON","Hospital","Short Term","3000 N Interstate 35","Denton","Texas","76201-5119","940-898-7000","","","","","","0.00","","","","348.92","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450747","PALESTINE REGIONAL MEDICAL CENTER","Hospital","Short Term","2900 S Loop 256","Palestine","Texas","75801-6958","903-731-1000","","","","","","12.00","","","","183.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45074F","VA HOSP","Hospital","Data not provided by CMS","2002 Holcombe Blvd","Houston","Texas","77030-4211","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450755","COVENANT HOSPITAL LEVELLAND","Hospital","Short Term","1900 College Ave","Levelland","Texas","79336-6508","806-894-4963","","","","","","0.00","","","","80.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"45075F","VA HOSP","Hospital","Data not provided by CMS","","Kerrville","Texas","78028","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"45076F","FEDERAL CORRECTIONAL INSTITUTE HOSP","Hospital","Data not provided by CMS","","Anthony","Texas","79840","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"450771","TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO","Hospital","Short Term","6200 W Parker Rd","Plano","Texas","75093-8185","972-981-8000","","","","","","2.00","","","","4.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450774","TOPS SURGICAL SPECIALTY HOSPITAL","Hospital","Short Term","17080 Red Oak Dr","Houston","Texas","77090-2602","281-539-2900","","","","","","0.00","","","","109.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450775","HCA HOUSTON HEALTHCARE KINGWOOD","Hospital","Short Term","22999 Highway 59 N","Kingwood","Texas","77339-4412","281-359-7500","","","","","","0.00","","","","755.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"450779","TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F","Hospital","Short Term","6100 Harris Pkwy","Fort Worth","Texas","76132-4101","817-433-5000","","","","","","0.60","","","","1871.28","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
